,LAT_GIN,LON_GIN,HGT_RADR,CH4
2012-04-03 13:45:00,57.04712677001953,2.2160744667053223,43.20539093017578,1888.94
2012-04-03 13:45:01,57.0478401184082,2.2149128913879395,43.54829406738281,1884.28
2012-04-03 13:45:02,57.048545837402344,2.2137486934661865,43.85309600830078,1883.64
2012-04-03 13:45:03,57.04925537109375,2.212580442428589,44.34839630126953,1888.62
2012-04-03 13:45:04,57.049957275390625,2.211409091949463,44.919891357421875,1890.19
2012-04-03 13:45:05,57.05066680908203,2.210235357284546,45.11039733886719,1888.89
2012-04-03 13:45:06,57.05137634277344,2.209059238433838,43.70069122314453,1888.84
2012-04-03 13:45:07,57.05207824707031,2.207882881164551,44.04359436035156,1892.51
2012-04-03 13:45:08,57.05278015136719,2.2067062854766846,43.47209167480469,1894.25
2012-04-03 13:45:09,57.05349349975586,2.2055296897888184,44.34839630126953,1887.92
2012-04-03 13:45:10,57.05419921875,2.2043533325195312,43.891197204589844,1888.97
2012-04-03 13:45:11,57.05490493774414,2.2031755447387695,45.03419494628906,1890.25
2012-04-03 13:45:12,57.05561828613281,2.2019946575164795,44.38648986816406,1886.61
2012-04-03 13:45:13,57.05632019042969,2.200812816619873,43.85309600830078,1888.43
2012-04-03 13:45:14,57.05704116821289,2.199632167816162,42.21479034423828,1891.13
2012-04-03 13:45:15,57.05775451660156,2.198453903198242,41.56709289550781,1892.07
2012-04-03 13:45:16,57.0584716796875,2.197274684906006,39.928794860839844,1893.61
2012-04-03 13:45:17,57.0591926574707,2.1960954666137695,40.119293212890625,1895.4
2012-04-03 13:45:18,57.059906005859375,2.194915294647217,40.50029754638672,1893.95
2012-04-03 13:45:19,57.06062316894531,2.193735361099243,40.309791564941406,1890.02
2012-04-03 13:45:20,57.061344146728516,2.192556381225586,40.00499725341797,1888.74
2012-04-03 13:45:21,57.062068939208984,2.1913790702819824,39.966896057128906,1887.6
2012-04-03 13:45:22,57.062782287597656,2.1902027130126953,40.57649230957031,1892.98
2012-04-03 13:45:23,57.063514709472656,2.1890265941619873,40.805091857910156,1890.62
2012-04-03 13:45:24,57.064239501953125,2.1878509521484375,40.576499938964844,1890.18
2012-04-03 13:45:25,57.06496047973633,2.186674118041992,40.65269470214844,1891.39
2012-04-03 13:45:26,57.0656852722168,2.1854965686798096,40.576499938964844,1887.03
2012-04-03 13:45:27,57.0664176940918,2.184316396713257,39.50969696044922,1885.41
2012-04-03 13:45:28,57.06714630126953,2.183133840560913,39.319190979003906,1890.18
2012-04-03 13:45:29,57.06787109375,2.1819498538970947,38.90009307861328,1890.14
2012-04-03 13:45:30,57.06859588623047,2.1807608604431152,38.86199951171875,1886.64
2012-04-03 13:45:31,57.06932830810547,2.1795668601989746,37.604698181152344,1889.0
2012-04-03 13:45:32,57.07005310058594,2.1783745288848877,37.0712890625,1891.68
2012-04-03 13:45:33,57.07078170776367,2.1771862506866455,38.138092041015625,1889.47
2012-04-03 13:45:34,57.07150650024414,2.1759989261627197,36.995094299316406,1888.05
2012-04-03 13:45:35,57.07223892211914,2.1748104095458984,38.90009307861328,1885.59
2012-04-03 13:45:36,57.07296371459961,2.1736226081848145,37.90949249267578,1885.35
2012-04-03 13:45:37,57.07369613647461,2.1724395751953125,38.55718994140625,1892.37
2012-04-03 13:45:38,57.07443618774414,2.1712584495544434,38.55719757080078,1887.27
2012-04-03 13:45:39,57.07516860961914,2.1700758934020996,37.947593688964844,1888.08
2012-04-03 13:45:40,57.07590103149414,2.1688928604125977,38.480995178222656,1889.71
2012-04-03 13:45:41,57.07663345336914,2.167710304260254,38.02379608154297,1890.61
2012-04-03 13:45:42,57.07737350463867,2.1665287017822266,38.17619323730469,1885.37
2012-04-03 13:45:43,57.07810974121094,2.1653499603271484,38.02379608154297,1888.57
2012-04-03 13:45:44,57.07884979248047,2.1641714572906494,38.36669158935547,1887.62
2012-04-03 13:45:45,57.07958221435547,2.1629910469055176,37.90949249267578,1887.92
2012-04-03 13:45:46,57.08031463623047,2.161808729171753,37.49040222167969,1889.0
2012-04-03 13:45:47,57.0810546875,2.1606247425079346,37.26179504394531,1887.34
2012-04-03 13:45:48,57.0817985534668,2.1594443321228027,37.22369384765625,1887.76
2012-04-03 13:45:49,57.08253860473633,2.158266305923462,36.91889190673828,1890.01
2012-04-03 13:45:50,57.08327865600586,2.1570892333984375,37.33799743652344,1890.69
2012-04-03 13:45:51,57.084014892578125,2.1559126377105713,36.27119445800781,1886.91
2012-04-03 13:45:52,57.084754943847656,2.1547350883483887,37.109397888183594,1883.53
2012-04-03 13:45:53,57.08549880981445,2.153557777404785,37.26179504394531,1882.54
2012-04-03 13:45:54,57.086238861083984,2.1523797512054443,37.490394592285156,1888.26
2012-04-03 13:45:55,57.08698272705078,2.1512041091918945,36.957000732421875,1893.56
2012-04-03 13:45:56,57.087730407714844,2.1500308513641357,36.88079071044922,1891.5
2012-04-03 13:45:57,57.08847427368164,2.1488590240478516,36.804588317871094,1887.01
2012-04-03 13:45:58,57.08922576904297,2.1476893424987793,36.88079833984375,1887.16
2012-04-03 13:45:59,57.0899658203125,2.146522283554077,36.76649475097656,1882.73
2012-04-03 13:46:00,57.09071350097656,2.1453566551208496,36.76649475097656,1887.53
2012-04-03 13:46:01,57.091461181640625,2.1441917419433594,36.804595947265625,1889.45
2012-04-03 13:46:02,57.09220886230469,2.1430246829986572,36.156890869140625,1888.75
2012-04-03 13:46:03,57.09295654296875,2.141857624053955,36.88079833984375,1886.15
2012-04-03 13:46:04,57.09370803833008,2.1406869888305664,37.07129669189453,1885.22
