,HGT_RADR,X,Y
0,34.328094482421875,11435.498290757938,1295.3672525436677
1,35.623497009277344,11371.92211693423,1378.08137415582
2,36.57599639892578,11308.223250308765,1461.2196707498047
3,34.975791931152344,11244.185175355811,1543.0854423959222
4,34.44239044189453,11179.793457699943,1626.2237389899071
5,33.642295837402344,11115.170789467631,1707.6653356534018
6,33.79469299316406,11050.353256577604,1789.106932316897
7,33.832794189453125,10985.42746524158,1871.3968789448472
8,33.26129913330078,10920.429501383,1952.8384756083422
9,31.584896087646484,10855.229455680097,2034.2800722718368
10,32.11829376220703,10790.036626487357,2115.721668935332
11,32.53739929199219,10724.995357504837,2197.1632655988274
12,31.546794891357425,10660.22834088385,2279.4532122283576
13,32.08019256591797,10595.504626718814,2360.894808891063
14,32.57549285888672,10530.622133834811,2442.336405555348
15,32.270694732666016,10465.616948156447,2523.7780022180527
16,30.86099624633789,10400.590110276205,2605.6437738649606
17,31.43249893188477,10335.6715295314,2687.509545511078
18,32.1182975769043,10270.752948149871,2768.9511421753637
19,32.00399398803711,10205.942623916038,2850.8169138206904
20,31.394397735595703,10141.254991207892,2932.2585104841864
21,30.479995727539062,10076.66118129095,3013.7001071476816
22,31.851600646972656,10012.038502017132,3095.5658787937987
23,30.44189453125,9947.57460021615,3177.8558254225386
24,29.79419708251953,9883.341647753417,3260.5699470331106
25,30.02279663085937,9819.19530092386,3342.859893662641
26,30.28949737548828,9755.092256618716,3425.574015273213
27,30.327598571777344,9691.191292932876,3507.8639619027435
28,30.44189453125,9627.564581735322,3590.153908530693
29,30.594295501708984,9564.161602734981,3672.8680301428453
30,31.28009796142578,9500.773057544851,3755.582151754207
31,31.813495635986328,9437.42059772747,3838.7204483481923
32,32.38499450683594,9374.15474359106,3921.4345699595547
33,31.16579818725586,9310.961060769017,4004.5728665535394
34,31.28009796142578,9247.875635198621,4086.4386381996565
35,32.19449996948242,9184.905684072719,4170.849459741507
36,31.622997283935547,9122.029555838537,4253.987756335493
37,32.842193603515625,9059.030734906224,4335.85352798082
38,33.4136962890625,8995.97417595565,4418.991824575596
39,33.146995544433594,8932.917616482218,4502.13012116958
40,32.689796447753906,8870.048703343946,4585.268417763565
41,32.76599884033203,8807.374653735838,4668.406714357549
42,31.622997283935547,8744.686169248393,4751.545010951534
43,31.58489990234375,8681.911078016023,4835.107482527352
44,31.92779922485352,8619.229809713748,4917.8216041395035
45,30.822895050048828,8556.606278412371,5001.808250697943
46,31.699199676513672,8493.96831224642,5084.098197327473
47,32.651695251464844,8431.373648715942,5167.236493921457
48,32.651695251464844,8368.94498000729,5250.798965498064
49,33.489891052246094,8306.473007698562,5333.513087109426
50,32.88029479980469,8244.008252103231,5416.651383703411
51,32.23258972167969,8181.521844475724,5500.213855280809
52,32.30879211425781,8119.208648878344,5582.503801908758
53,31.92779922485352,8056.801629383509,5666.066273484575
54,31.92779541015625,7994.250265680301,5748.356220114105
55,31.92779922485352,7931.857679645695,5831.070341725467
56,32.19449996948242,7869.674391599821,5914.632813302074
57,32.23259735107422,7807.534406234979,5997.771109895269
58,32.308799743652344,7745.40885480483,6080.909406490834
59,33.41368865966797,7683.34104043964,6163.199353118784
60,34.86149597167969,7621.143316261513,6245.913474730146
61,34.59479522705078,7559.003329155156,6329.475946306753
